Title,Year,IMDB_rating,MPA_rating,Duration,Category,Director
Metropolis,1927,8.3,Not Rated,2h 33m,Drama,Fritz Lang
A Separation,2011,8.3,PG-13,2h 3m,Drama,Asghar Farhadi
Incendies,2010,8.3,R,2h 11m,Drama,Denis Villeneuve
Die Hard,1988,8.2,R,2h 12m,Action,John McTiernan
Hamilton,2020,8.3,PG-13,2h 40m,Biography,Thomas Kail
Snatch,2000,8.3,R,1h 42m,Comedy,Guy Ritchie
Bicycle Thieves,1948,8.3,Not Rated,1h 29m,Drama,Vittorio De Sica
Indiana Jones and the Last Crusade,1989,8.2,PG-13,2h 7m,Action,Steven Spielberg
1917,2019,8.2,R,1h 59m,Action,Sam Mendes
Like Stars on Earth,2007,8.3,PG,2h 45m,Drama,Aamir Khan
Downfall,2004,8.2,R,2h 36m,Biography,Oliver Hirschbiegel
For a Few Dollars More,1965,8.2,R,2h 12m,Western,Sergio Leone
Batman Begins,2005,8.2,PG-13,2h 20m,Action,Christopher Nolan
Dangal,2016,8.3,Not Rated,2h 41m,Action,Nitesh Tiwari
The Kid,1921,8.3,Passed,1h 8m,Comedy,Charles Chaplin
Some Like It Hot,1959,8.2,Passed,2h 1m,Comedy,Billy Wilder
Spider-Man: No Way Home,2021,8.3,PG-13,2h 28m,Action,Jon Watts
The Father,2020,8.2,PG-13,1h 37m,Drama,Florian Zeller
All About Eve,1950,8.2,Passed,2h 18m,Drama,Joseph L. Mankiewicz
Green Book,2018,8.2,PG-13,2h 10m,Biography,Peter Farrelly
The Wolf of Wall Street,2013,8.2,R,3h,Biography,Martin Scorsese
Judgment at Nuremberg,1961,8.3,Approved,2h 59m,Drama,Stanley Kramer
Ran,1985,8.2,R,2h 42m,Action,Akira Kurosawa
Casino,1995,8.2,R,2h 58m,Crime,Martin Scorsese
Unforgiven,1992,8.2,R,2h 10m,Drama,Clint Eastwood
Pan's Labyrinth,2006,8.2,R,1h 58m,Drama,Guillermo del Toro
There Will Be Blood,2007,8.2,R,2h 38m,Drama,Paul Thomas Anderson
The Sixth Sense,1999,8.2,PG-13,1h 47m,Drama,M. Night Shyamalan
The Truman Show,1998,8.2,PG,1h 43m,Comedy,Peter Weir
A Beautiful Mind,2001,8.2,PG-13,2h 15m,Biography,Ron Howard
Monty Python and the Holy Grail,1975,8.2,PG,1h 31m,Adventure,Terry Gilliam
Yojimbo,1961,8.2,Not Rated,1h 50m,Action,Akira Kurosawa
The Treasure of the Sierra Madre,1948,8.2,Passed,2h 6m,Adventure,John Huston
Shutter Island,2010,8.2,R,2h 18m,Mystery,Martin Scorsese
Jurassic Park,1993,8.2,PG-13,2h 7m,Action,Steven Spielberg
Rashomon,1950,8.2,Not Rated,1h 28m,Crime,Akira Kurosawa
The Great Escape,1963,8.2,Approved,2h 52m,Adventure,John Sturges
Kill Bill: Vol. 1,2003,8.2,R,1h 51m,Action,Quentin Tarantino
No Country for Old Men,2007,8.2,R,2h 2m,Crime,Ethan Coen
Finding Nemo,2003,8.2,G,1h 40m,Animation,Andrew Stanton
The Elephant Man,1980,8.2,PG,2h 4m,Biography,David Lynch
Chinatown,1974,8.2,R,2h 10m,Drama,Roman Polanski
Raging Bull,1980,8.2,R,2h 9m,Biography,Martin Scorsese
Gone with the Wind,1939,8.2,Passed,3h 58m,Drama,Victor Fleming
The Thing,1982,8.2,R,1h 49m,Horror,John Carpenter
V for Vendetta,2006,8.2,R,2h 12m,Action,James McTeigue
Inside Out,2015,8.2,PG,1h 35m,Animation,Pete Docter
"Lock, Stock and Two Smoking Barrels",1998,8.2,R,1h 47m,Action,Guy Ritchie
Dial M for Murder,1954,8.2,PG,1h 45m,Crime,Alfred Hitchcock
Everything Everywhere All at Once,2022,8.2,R,2h 19m,Action,Dan Kwan
The Secret in Their Eyes,2009,8.2,R,2h 9m,Drama,Juan José Campanella
Howl's Moving Castle,2004,8.2,PG,1h 59m,Animation,Hayao Miyazaki
The Bridge on the River Kwai,1957,8.2,PG,2h 41m,Adventure,David Lean
"Three Billboards Outside Ebbing, Missouri",2017,8.1,R,1h 55m,Comedy,Martin McDonagh
Trainspotting,1996,8.1,R,1h 33m,Drama,Danny Boyle
Warrior,2011,8.2,PG-13,2h 20m,Action,Gavin O'Connor
Gran Torino,2008,8.1,R,1h 56m,Drama,Clint Eastwood
Fargo,1996,8.1,R,1h 38m,Crime,Joel Coen
Prisoners,2013,8.1,R,2h 33m,Crime,Denis Villeneuve
My Neighbor Totoro,1988,8.1,G,1h 26m,Animation,Hayao Miyazaki
Million Dollar Baby,2004,8.1,PG-13,2h 12m,Drama,Clint Eastwood
The Gold Rush,1925,8.2,Passed,1h 35m,Adventure,Charles Chaplin
Catch Me If You Can,2002,8.1,PG-13,2h 21m,Biography,Steven Spielberg
Blade Runner,1982,8.1,R,1h 57m,Action,Ridley Scott
On the Waterfront,1954,8.1,Approved,1h 48m,Crime,Elia Kazan
Children of Heaven,1997,8.2,PG,1h 29m,Drama,Majid Majidi
The Third Man,1949,8.1,Approved,1h 33m,Film-Noir,Carol Reed
Ben-Hur,1959,8.1,G,3h 32m,Adventure,William Wyler
Wild Strawberries,1957,8.1,Not Rated,1h 31m,Drama,Ingmar Bergman
12 Years a Slave,2013,8.1,R,2h 14m,Biography,Steve McQueen
